village_officer_domain,village_officer_domain_no,house_address,nic,gender,district
Navatkadu,AV/03,337/A,818322,M,ampara
Navatkadu,AV/03,407,279213,M,ampara
Akkaraipattu 7/4,AV/08,35,497298,M,ampara
Akkaraipattu 7/4,AV/08,38/A,484481,M,ampara
Akkaraipattu 7/4,AV/08,60/A,71397,M,ampara
Akkaraipattu 7/4,AV/08,97,544162,M,ampara
Akkaraipattu 7/4,AV/08,100,226954,F,ampara
Akkaraipattu 7/4,AV/08,110/A,600642,F,ampara
Akkaraipattu 7/4,AV/08,114,587960,F,ampara
Akkaraipattu 7/4,AV/08,146/A,85671,M,ampara
Akkaraipattu 7/4,AV/08,204/B,98354,M,ampara
Akkaraipattu 7/1,AV/05,43,638481,F,ampara
Akkaraipattu 7/1,AV/05,73/A,928261,M,ampara
Akkaraipattu 7/1,AV/05,98,555478,M,ampara
Akkaraipattu 7/1,AV/05,103/B,388214,F,ampara
KannahikiramaF 02,AV/21,40,193445,F,ampara
KannahikiramaF 02,AV/21,95,183472,M,ampara
KannahikiramaF 02,AV/21,184/B,765251,M,ampara
KannahikiramaF 02,AV/21,238/B,519923,M,ampara
KannahikiramaF 02,AV/21,233/A,16152,F,ampara
Akkaraipattu 7/2,AV/06,69,225581,M,ampara
Akkaraipattu 7/2,AV/06,78/1,82098,F,ampara
Akkaraipattu 7/2,AV/06,107,455428,M,ampara
Akkaraipattu 7/3,AV/07,7,778440,F,ampara
Akkaraipattu 7/3,AV/07,15,610711,F,ampara
Sainthamaruthu 01,KP/53,130/B,161522,F,ampara
Sainthamaruthu 01,KP/53,137/D,35390,F,ampara
Sainthamaruthu 01,KP/53,138,879823,M,ampara
Sainthamaruthu 01,KP/53,142/1,782211,M,ampara
Sainthamaruthu 01,KP/53,143,603368,M,ampara
Sainthamaruthu 01,KP/53,149/3,738283,M,ampara
Sainthamaruthu 01,KP/53,173,459701,M,ampara
Sainthamaruthu 01,KP/53,174/C,717425,F,ampara
Sainthamaruthu 01,KP/53,178/B/1,208478,M,ampara
Sainthamaruthu 01,KP/53,280/C,116388,F,ampara
Sainthamaruthu 01,KP/53,280/C/1,215851,M,ampara
Sainthamaruthu 02,KP/53A,183/J/1/1,569349,M,ampara
Sainthamaruthu 02,KP/53A,183/J/4,885355,M,ampara
Sainthamaruthu 02,KP/53A,183/M/7,527708,F,ampara
Sainthamaruthu 02,KP/53A,380/B,485482,F,ampara
Sainthamaruthu 02,KP/53A,301,229009,F,ampara
Sainthamaruthu 02,KP/53A,301/D,94264,M,ampara
Sainthamaruthu 02,KP/53A,310/2,114006,M,ampara
Sainthamaruthu 02,KP/53A,614/C/1,874423,F,ampara
Sainthamaruthu 02,KP/53A,639/A/1,504716,F,ampara
Sainthamaruthu 03,KP/52,1/C/7,997336,M,ampara
Sainthamaruthu 03,KP/52,5/B,972682,M,ampara
Sainthamaruthu 03,KP/52,20/A,557282,M,ampara
Sainthamaruthu 03,KP/52,385/B,54123,M,ampara
Sainthamaruthu 03,KP/52,391/A/2,705746,M,ampara
Sainthamaruthu 03,KP/52,415/A/1,519893,F,ampara
Sainthamaruthu 03,KP/52,451/A,658971,M,ampara
Sainthamaruthu 03,KP/52,452/B,590396,M,ampara
Sainthamaruthu 03,KP/52,466/A/1,70981,M,ampara
Sainthamaruthu 03,KP/52,483/C,250196,F,ampara
Sainthamaruthu 03,KP/52,506/1,453038,M,ampara
Sainthamaruthu 03,KP/52,508/B,829073,M,ampara
Sainthamaruthu 03,KP/52,510/B/2,823136,M,ampara
Sainthamaruthu 03,KP/52,545/A,472307,M,ampara
Sainthamaruthu 03,KP/52,547/A/3,625920,M,ampara
Sainthamaruthu 03,KP/52,560/2,814952,M,ampara
Sainthamaruthu 03,KP/52,567/C,86992,F,ampara
Sainthamaruthu 03,KP/52,560/B,521402,F,ampara
Sainthamaruthu 03,KP/52,574/2,287449,F,ampara
Sainthamaruthu 03,KP/52,579,68867,F,ampara
Sainthamaruthu 04,KP/52B,315/A,173361,M,ampara
Sainthamaruthu 04,KP/52B,317/A,61481,M,ampara
Sainthamaruthu 04,KP/52B,325/1,279901,M,ampara
Sainthamaruthu 04,KP/52B,346/A,900916,F,ampara
Sainthamaruthu 04,KP/52B,354,416119,M,ampara
Sainthamaruthu 04,KP/52B,596/A,428468,F,ampara
Sainthamaruthu 04,KP/52B,596/A/2,596039,F,ampara
Sainthamaruthu 04,KP/52B,607/B,777905,F,ampara
Sainthamaruthu 05,KP/52A,38/B,986889,M,ampara
Sainthamaruthu 05,KP/52A,56,149830,M,ampara
Sainthamaruthu 05,KP/52A,75/B,786330,M,ampara
Sainthamaruthu 05,KP/52A,76,300029,F,ampara
Sainthamaruthu 05,KP/52A,85/A/3,413675,F,ampara
Sainthamaruthu 05,KP/52A,106/C,277403,M,ampara
Sainthamaruthu 05,KP/52A,121/B,346164,F,ampara
Sainthamaruthu 05,KP/52A,128/B,393279,M,ampara
Sainthamaruthu 05,KP/52A,145/B,522653,M,ampara
Sainthamaruthu 05,KP/52A,146/A/1,514631,M,ampara
Sainthamaruthu 05,KP/52A,180/A,595192,M,ampara
Sainthamaruthu 06,KP/52C,200,986230,M,ampara
Sainthamaruthu 06,KP/52C,204/A,61994,M,ampara
Sainthamaruthu 06,KP/52C,217/A,218167,M,ampara
Sainthamaruthu 06,KP/52C,286/B,196180,F,ampara
Sainthamaruthu 07,KP/50A,305/E,303470,M,ampara
Sainthamaruthu 07,KP/50A,330/A,541181,M,ampara
Sainthamaruthu 07,KP/50A,349/D,325381,F,ampara
Sainthamaruthu 07,KP/50A,482/A,689013,F,ampara
Sainthamaruthu 07,KP/50A,483/B,385824,M,ampara
Sainthamaruthu 07,KP/50A,494,230949,M,ampara
Sainthamaruthu 07,KP/50A,514/1,303004,F,ampara
Sainthamaruthu 07,KP/50A,542/B,712856,M,ampara
Sainthamaruthu 07,KP/50A,542/B,158928,F,ampara
Sainthamaruthu 07,KP/50A,565/24/A,915875,F,ampara
Sainthamaruthu 07,KP/50A,565/25/A,853923,F,ampara
Sainthamaruthu 08,KP/50B,375,896340,F,ampara
Sainthamaruthu 08,KP/50B,381/A/1,978596,F,ampara
Sainthamaruthu 08,KP/50B,385/A/2,220339,M,ampara
Sainthamaruthu 08,KP/50B,394,458784,M,ampara
Sainthamaruthu 08,KP/50B,431,353604,M,ampara
Sainthamaruthu 08,KP/50B,452/B,769261,M,ampara
Sainthamaruthu 09,KP/50,8,988048,M,ampara
Sainthamaruthu 09,KP/50,222/B,9983,F,ampara
Sainthamaruthu 09,KP/50,233/A/1,157372,F,ampara
Sainthamaruthu 09,KP/50,244/A,479494,M,ampara
Sainthamaruthu 09,KP/50,258,452030,F,ampara
Sainthamaruthu 09,KP/50,259/C/2,865054,M,ampara
Sainthamaruthu 09,KP/50,B/18,566292,F,ampara
Sainthamaruthu 09,KP/50,B/90,830421,M,ampara
Sainthamaruthu 09,KP/50,B/142,823696,M,ampara
Sainthamaruthu 09,KP/50,B/245/1,139823,M,ampara
Sainthamaruthu 09,KP/50,B/254,533768,F,ampara
Sainthamaruthu 09,KP/50,B/344,683532,F,ampara
Sainthamaruthu 09,KP/50,B/364,718069,F,ampara
Sainthamaruthu 10,KP/50C,80/D,557997,F,ampara
Sainthamaruthu 10,KP/50C,82,951207,F,ampara
Sainthamaruthu 10,KP/50C,87/A,699296,M,ampara
Sainthamaruthu 10,KP/50C,95/C,926117,F,ampara
Sainthamaruthu 10,KP/50C,95/D,790815,F,ampara
Sainthamaruthu 10,KP/50C,104/B,445051,M,ampara
Sainthamaruthu 10,KP/50C,104/C,999825,M,ampara
Sainthamaruthu 10,KP/50C,127/2,479958,F,ampara
Sainthamaruthu 10,KP/50C,128/2,747605,M,ampara
Sainthamaruthu 10,KP/50C,137/B/2,692243,M,ampara
Sainthamaruthu 10,KP/50C,147/A,639853,M,ampara
Sainthamaruthu 10,KP/50C,171/A/1,585701,F,ampara
Sainthamaruthu 10,KP/50C,178,489060,F,ampara
Sainthamaruthu 10,KP/50C,182/B/1,313705,M,ampara
Sainthamaruthu 10,KP/50C,185/A,488241,F,ampara
Sainthamaruthu 10,KP/50C,189,556054,M,ampara
Sainthamaruthu 11,KP/47A,2-Apr,705191,M,ampara
Sainthamaruthu 11,KP/47A,4/A,176318,M,ampara
Sainthamaruthu 11,KP/47A,8/A/2,460224,M,ampara
Sainthamaruthu 11,KP/47A,41/B/2,225281,F,ampara
Sainthamaruthu 11,KP/47A,56/1,490756,M,ampara
Sainthamaruthu 11,KP/47A,63,907539,F,ampara
Sainthamaruthu 11,KP/47A,104,274410,M,ampara
Sainthamaruthu 11,KP/47A,361/B,734356,F,ampara
Sainthamaruthu 11,KP/47A,378/B/1,740347,M,ampara
Sainthamaruthu 12,KP/47B,121/A,50694,F,ampara
Sainthamaruthu 12,KP/47B,127,818850,F,ampara
Sainthamaruthu 12,KP/47B,171/C,921274,F,ampara
Sainthamaruthu 12,KP/47B,175,266279,F,ampara
Sainthamaruthu 12,KP/47B,187/5,726959,M,ampara
Sainthamaruthu 12,KP/47B,201/D,576637,M,ampara
Sainthamaruthu 12,KP/47B,201/D/1,487628,F,ampara
Sainthamaruthu 12,KP/47B,204,48895,M,ampara
Sainthamaruthu 12,KP/47B,213/A,406047,F,ampara
Sainthamaruthu 12,KP/47B,227/A,669306,F,ampara
Sainthamaruthu 12,KP/47B,238/B/1,831824,F,ampara
Sainthamaruthu 12,KP/47B,239/D,915100,F,ampara
Sainthamaruthu 12,KP/47B,243/A,207445,F,ampara
Sainthamaruthu 13,KP/47D,205/1,3374,F,ampara
Sainthamaruthu 13,KP/47D,205/2/2,864852,M,ampara
Sainthamaruthu 13,KP/47D,248/C/1,631998,F,ampara
Sainthamaruthu 13,KP/47D,257,801319,M,ampara
Sainthamaruthu 14,KP/47E,480/A/3,159690,F,ampara
Sainthamaruthu 14,KP/47E,503,455949,M,ampara
Sainthamaruthu 14,KP/47E,514/C,216426,F,ampara
Sainthamaruthu 14,KP/47E,647,917625,F,ampara
Sainthamaruthu 14,KP/47E,652,152039,F,ampara
Sainthamaruthu 14,KP/47E,663/A,513151,F,ampara
Sainthamaruthu 14,KP/47E,675/C,388792,M,ampara
Sainthamaruthu 15,KP/47F,264/1,915003,F,ampara
Sainthamaruthu 15,KP/47F,266/A,17807,M,ampara
Sainthamaruthu 15,KP/47F,266/C,556143,F,ampara
Sainthamaruthu 15,KP/47F,267,582890,F,ampara
Sainthamaruthu 15,KP/47F,273,547531,M,ampara
Sainthamaruthu 15,KP/47F,273,30657,F,ampara
Sainthamaruthu 15,KP/47F,281/B,416828,M,ampara
Sainthamaruthu 15,KP/47F,386/A,967705,M,ampara
Sainthamaruthu 15,KP/47F,321/B,693895,M,ampara
Sainthamaruthu 15,KP/47F,322/A,941263,F,ampara
Sainthamaruthu 15,KP/47F,337,500409,M,ampara
Sainthamaruthu 15,KP/47F,340,245544,F,ampara
Sainthamaruthu 15,KP/47F,351/C,905424,F,ampara
Sainthamaruthu 15,KP/47F,609/C,734050,M,ampara
Sainthamaruthu 15,KP/47F,827,931521,F,ampara
Sainthamaruthu 15,KP/47F,861/3,872917,M,ampara
Sainthamaruthu 15,KP/47F,862/A/2/A,608044,F,ampara
Sainthamaruthu 15,KP/47F,871/C/2/B,433995,M,ampara
Sainthamaruthu 16,KP/47C,58,225483,M,ampara
Sainthamaruthu 16,KP/47C,93/1,55870,M,ampara
Sainthamaruthu 16,KP/47C,107/A,881866,F,ampara
Sainthamaruthu 16,KP/47C,112,510280,M,ampara
Sainthamaruthu 16,KP/47C,120,353893,F,ampara
Sainthamaruthu 16,KP/47C,126/A,207385,F,ampara
Sainthamaruthu 16,KP/47C,146,397758,F,ampara
Sainthamaruthu 16,KP/47C,148,759386,M,ampara
Sainthamaruthu 16,KP/47C,151,199091,F,ampara
Sainthamaruthu 16,KP/47C,448/1,798810,M,ampara
Sainthamaruthu 16,KP/47C,452/B/1,604634,M,ampara
Sainthamaruthu 16,KP/47C,543/1,30609,F,ampara
Sainthamaruthu 16,KP/47C,567/A,481257,M,ampara
Sainthamaruthu 16,KP/47C,578,459543,M,ampara
Sainthamaruthu 16,KP/47C,586/1,302576,F,ampara
Sainthamaruthu 16,KP/47C,586/D,323421,M,ampara
Sainthamaruthu 16,KP/47C,603,101679,F,ampara
Sainthamaruthu 16,KP/47C,634/B,242041,F,ampara
Sainthamaruthu 17,KP/47,735/C,122812,M,ampara
Sainthamaruthu 17,KP/47,737/A/1,55331,F,ampara
Sainthamaruthu 17,KP/47,756/A,379203,F,ampara
Sainthamaruthu 17,KP/47,763/1,633456,F,ampara
Sainthamaruthu 17,KP/47,793/B,883549,F,ampara
Sainthamaruthu 17,KP/47,794/B/2,699198,M,ampara
Sainthamaruthu 17,KP/47,810/C/1,872163,M,ampara
Sainthamaruthu 17,KP/47,813,145533,F,ampara
Sainthamaruthu 17,KP/47,831/B,971403,F,ampara
Sainthamaruthu 17,KP/47,831/B/1,608619,M,ampara
Sainthamaruthu 17,KP/47,832/A,374309,F,ampara
Sainthamaruthu 17,KP/47,835/2,764682,F,ampara
Sainthamaruthu 17,KP/47,844/1,930726,F,ampara
Sainthamaruthu 17,KP/47,846/A/2,511106,F,ampara
Sainthamaruthu 17,KP/47,881,801795,F,ampara
Sainthamaruthu 17,KP/47,883,576884,F,ampara
KalFunai  01,KP/61/1,1/A/2,494785,M,ampara
KalFunai  01,KP/61/1,2-Jul,843873,M,ampara
KalFunai  01,KP/61/1,9/A/1,398640,F,ampara
KalFunai  01,KP/61/1,33/1,263403,M,ampara
KalFunai  01,KP/61/1,48/B/B,386616,F,ampara
KalFunai  01,KP/61/1,49/1/A,388020,F,ampara
KalFunai  01,KP/61/1,55,292690,M,ampara
KalFunai  01,KP/61/1,58/F/1,834592,F,ampara
KalFunai  01,KP/61/1,69/A/6,795527,M,ampara
KalFunai  01A,KP/61/2,34,959653,F,ampara
KalFunai  01A,KP/61/2,42/B,930409,M,ampara
KalFunai  01A,KP/61/2,59,963702,M,ampara
KalFunai  01A,KP/61/2,79/A,805534,F,ampara
KalFunai  01A,KP/61/2,116/A,154005,F,ampara
KalFunai  01A,KP/61/2,128/B,358490,M,ampara
KalFunai  01A,KP/61/2,158,644851,M,ampara
KalFunai  01A,KP/61/2,165/A/2,445336,M,ampara
KalFunai  01A,KP/61/2,238/F,492961,M,ampara
KalFunai  01B,KP/61/3,165,144155,M,ampara
KalFunai  01B,KP/61/3,184/D/1,747651,F,ampara
KalFunai  01B,KP/61/3,187/F/4,304425,M,ampara
KalFunai  01B,KP/61/3,188/A,315924,M,ampara
KalFunai  01B,KP/61/3,206,246863,M,ampara
KalFunai  01B,KP/61/3,234,484355,M,ampara
KalFunai  01D,KP/61/5,11,273741,M,ampara
KalFunai  01D,KP/61/5,13/1,732500,M,ampara
KalFunai  01D,KP/61/5,45,325173,M,ampara
KalFunai  01D,KP/61/5,87,9619,M,ampara
KalFunai  01D,KP/61/5,112,164875,F,ampara
KalFunai  01D,KP/61/5,180,431416,F,ampara
KalFunai  01D,KP/61/5,B/10,921364,M,ampara
KalFunai  01D,KP/61/5,D/14,262552,M,ampara
KalFunai  01D,KP/61/5,D/21,408,F,ampara
KalFunai  01D,KP/61/5,Y/26,316185,M,ampara
KalFunai  01C,KP/61/4,386/A/2,61764,F,ampara
KalFunai  01C,KP/61/4,303/D,960157,F,ampara
KalFunai  01C,KP/61/4,305/E,337336,F,ampara
KalFunai  01C,KP/61/4,372,336953,M,ampara
KalFunai  01C,KP/61/4,403,817090,M,ampara
KalFunai  01E,KP/61/6,63/2,248072,F,ampara
KalFunai  01E,KP/61/6,80/B,431073,F,ampara
KalFunai  01E,KP/61/6,94/1,742658,M,ampara
KalFunai  01E,KP/61/6,95/C,109824,M,ampara
KalFunai  01E,KP/61/6,147/B,172835,M,ampara
KalFunai  01E,KP/61/6,166/D,615907,M,ampara
KalFunai  01E,KP/61/6,201,903946,M,ampara
KalFunai  02A,KP/61/8,36,452912,F,ampara
KalFunai  02A,KP/61/8,60/2,301523,M,ampara
KalFunai  02A,KP/61/8,104/A/1,397396,M,ampara
KalFunai  02A,KP/61/8,106,223769,M,ampara
KalFunai  02A,KP/61/8,123/B,855472,M,ampara
KalFunai  02A,KP/61/8,152/C,296202,F,ampara
KalFunai  02A,KP/61/8,178,434760,F,ampara
KalFunai  02A,KP/61/8,180,460532,F,ampara
KalFunai  02B,KP/61/9,1-May,733114,M,ampara
KalFunai  02B,KP/61/9,24/A/2,934521,M,ampara
KalFunai  02B,KP/61/9,41/A/1,17356,F,ampara
KalFunai  02B,KP/61/9,41/B/2,925391,F,ampara
KalFunai  02B,KP/61/9,69/A,239892,M,ampara
KalFunai  02,KP/61/7,50/A,812059,F,ampara
KalFunai  02,KP/61/7,116,771904,M,ampara
KalFunai  02,KP/61/7,144,815323,M,ampara
KalFunai  02,KP/61/7,160,820631,M,ampara
KalFunai  02,KP/61/7,183/1,225908,M,ampara
KalFunai  02,KP/61/7,230,205120,F,ampara
KalFunai  02,KP/61/7,335,43810,F,ampara
KalFunai  03,KP/59/1,46,266003,M,ampara
KalFunai  03,KP/59/1,52,615017,M,ampara
KalFunai  03,KP/59/1,81,416120,M,ampara
KalFunai  03,KP/59/1,90,977374,M,ampara
KalFunai  03,KP/59/1,101,534443,M,ampara
KalFunai  03,KP/59/1,117,512512,F,ampara
KalFunai  03A,KP/59/2,102,924470,F,ampara
KalFunai  03A,KP/59/2,126/1,215651,F,ampara
KalFunai  03A,KP/59/2,130/3,185243,M,ampara
KalFunai  03A,KP/59/2,172/1,629385,F,ampara
Chenaikudiyiruppu 01,KP/69/1,34,552243,M,ampara
Chenaikudiyiruppu 01,KP/69/1,37,389675,F,ampara
Chenaikudiyiruppu 01,KP/69/1,62,288340,F,ampara
Chenaikudiyiruppu 01,KP/69/1,68,535578,F,ampara
Chenaikudiyiruppu 01,KP/69/1,68/A,691519,M,ampara
Chenaikudiyiruppu 01,KP/69/1,75/A,143000,M,ampara
Chenaikudiyiruppu 01,KP/69/1,157/A,354077,M,ampara
Chenaikudiyiruppu 01,KP/69/1,167,14535,F,ampara
Chenaikudiyiruppu 01,KP/69/1,167,950769,M,ampara
Chenaikudiyiruppu 01,KP/69/1,176,744374,M,ampara
Chenaikudiyiruppu 01,KP/69/1,184,179094,M,ampara
Chenaikudiyiruppu 01,KP/69/1,186/A,710652,M,ampara
Chenaikudiyiruppu 01B,KP/69/3,41/A,646218,M,ampara
Chenaikudiyiruppu 01B,KP/69/3,46,625918,M,ampara
Chenaikudiyiruppu 01B,KP/69/3,50/B,240871,M,ampara
Chenaikudiyiruppu 01B,KP/69/3,91/B,909793,F,ampara
Chenaikudiyiruppu 01B,KP/69/3,150,602248,M,ampara
Chenaikudiyiruppu 01B,KP/69/3,154/B,484951,F,ampara
Chenaikudiyiruppu 01B,KP/69/3,160,543589,M,ampara
Chenaikudiyiruppu 01B,KP/69/3,221,832482,F,ampara
Chenaikudiyiruppu 01B,KP/69/3,230,353839,M,ampara
Chenaikudiyiruppu 01B,KP/69/3,278,42364,M,ampara
Chenaikudiyiruppu 01A,KP/69/2,32,616376,M,ampara
Chenaikudiyiruppu 01A,KP/69/2,33/A,439778,M,ampara
Chenaikudiyiruppu 01A,KP/69/2,69,180799,M,ampara
Chenaikudiyiruppu 01A,KP/69/2,117,698773,F,ampara
Chenaikudiyiruppu 01A,KP/69/2,125,70868,M,ampara
Chenaikudiyiruppu 01A,KP/69/2,143,41508,M,ampara
Chenaikudiyiruppu 01A,KP/69/2,147/A,439027,M,ampara
Chenaikudiyiruppu 01A,KP/69/2,156,403327,M,ampara
Chenaikudiyiruppu 01A,KP/69/2,178,968454,F,ampara
Chenaikudiyiruppu 01A,KP/69/2,251,71468,M,ampara
Chenaikudiyiruppu 01A,KP/69/2,258,814885,M,ampara
Chenaikudiyiruppu 01A,KP/69/2,344,173933,M,ampara
NatpiddiFunai (T.P ) 01,KP/62/1,102,421166,F,ampara
NatpiddiFunai (T.P ) 01,KP/62/1,114,491283,M,ampara
NatpiddiFunai (T.P ) 01,KP/62/1,116/A,95001,M,ampara
NatpiddiFunai (T.P ) 01,KP/62/1,134/A,74341,M,ampara
NatpiddiFunai (T.P ) 01,KP/62/1,174,114010,F,ampara
NatpiddiFunai (T.P ) 01,KP/62/1,224,663228,M,ampara
NatpiddiFunai (T.P ) 01,KP/62/1,238,855434,M,ampara
NatpiddiFunai (T.P ) 01,KP/62/1,276,611515,F,ampara
NatpiddiFunai (T.P ) 02,KP/62/2,86/A,237969,M,ampara
NatpiddiFunai (T.P ) 02,KP/62/2,92,669224,F,ampara
NatpiddiFunai (T.P ) 02,KP/62/2,167/B,186128,M,ampara
NatpiddiFunai (T.P ) 02,KP/62/2,200,740028,M,ampara
NatpiddiFunai (T.P ) 02,KP/62/2,202/B,398567,F,ampara
NatpiddiFunai (T.P ) 02,KP/62/2,204/B,725134,M,ampara
NatpiddiFunai (T.P ) 03,KP/62/3,11,335493,M,ampara
NatpiddiFunai (T.P ) 03,KP/62/3,12,217905,M,ampara
NatpiddiFunai (T.P ) 03,KP/62/3,96,422132,F,ampara
NatpiddiFunai (T.P ) 03,KP/62/3,137/1,877808,F,ampara
NatpiddiFunai (T.P ) 03,KP/62/3,208/1,925744,M,ampara
NatpiddiFunai (T.P ) 03,KP/62/3,208/2,377309,M,ampara
Pandiruppu 01,KP/66/1,85/B,64419,F,ampara
Pandiruppu 01,KP/66/1,203/1/B,317313,F,ampara
Pandiruppu 01,KP/66/1,204/A/2,118961,F,ampara
Pandiruppu 01,KP/66/1,209/A/1,644611,M,ampara
Pandiruppu 01,KP/66/1,245/3,216324,F,ampara
Pandiruppu 01,KP/66/1,251,792999,F,ampara
Pandiruppu 01,KP/66/1,1/A,555716,F,ampara
Pandiruppu 01,KP/66/1,11/A,865374,F,ampara
Pandiruppu 01,KP/66/1,23,942233,M,ampara
Pandiruppu 01,KP/66/1,25,469940,M,ampara
Pandiruppu 01,KP/66/1,49,643042,M,ampara
Pandiruppu 01,KP/66/1,120,227337,M,ampara
Pandiruppu 01,KP/66/1,169,592629,M,ampara
Pandiruppu 01,KP/66/1,171,184598,M,ampara
Pandiruppu 01,KP/66/1,184,200417,M,ampara
Pandiruppu 01B,KP/66/3,111,686927,F,ampara
Pandiruppu 01B,KP/66/3,112/1,709935,F,ampara
Pandiruppu 01B,KP/66/3,141/A,364781,F,ampara
Pandiruppu 01B,KP/66/3,145/A/1,359069,M,ampara
Pandiruppu 01B,KP/66/3,157/B,683414,F,ampara
Pandiruppu 01B,KP/66/3,160/B,518065,F,ampara
Pandiruppu 01B,KP/66/3,173/4/A,181869,F,ampara
Pandiruppu 01B,KP/66/3,184,301462,M,ampara
Pandiruppu 01A,KP/66/2,38/2,229506,M,ampara
Pandiruppu 01A,KP/66/2,85/1,794058,F,ampara
Pandiruppu 01A,KP/66/2,121/1,651885,F,ampara
Pandiruppu 01A,KP/66/2,160/A,714720,F,ampara
Pandiruppu 02A,KP/66A/2,20,819114,M,ampara
Pandiruppu 02A,KP/66A/2,33,945781,M,ampara
Pandiruppu 02A,KP/66A/2,96/A,485061,M,ampara
Pandiruppu 02A,KP/66A/2,178,493510,F,ampara
Pandiruppu 02A,KP/66A/2,253,431727,F,ampara
Pandiruppu 02,KP/66A/1,276/A,576240,F,ampara
Pandiruppu 02,KP/66A/1,289/2,426057,F,ampara
Pandiruppu 02,KP/66A/1,313/7,363701,M,ampara
Pandiruppu 02,KP/66A/1,314/1,222409,F,ampara
Pandiruppu 02,KP/66A/1,320/1/A,498809,F,ampara
Pandiruppu 02,KP/66A/1,330/2,860007,F,ampara
Pandiruppu 02,KP/66A/1,330/4/A,959300,F,ampara
Pandiruppu 02,KP/66A/1,337,10177,M,ampara
Pandiruppu 02,KP/66A/1,355,132849,M,ampara
Pandiruppu 02,KP/66A/1,381/1/1,920639,M,ampara
Pandiruppu 02,KP/66A/1,391/F,970785,M,ampara
Pandiruppu 02,KP/66A/1,392/1,610608,M,ampara
Pandiruppu 02,KP/66A/1,392/10,22475,F,ampara
Pandiruppu 02,KP/66A/1,392/A/2,405298,F,ampara
Pandiruppu 02,KP/66A/1,398/1,350918,M,ampara
Pandiruppu 02B,KP/66A/3,405/A,673908,M,ampara
Pandiruppu 02B,KP/66A/3,440,558487,M,ampara
Pandiruppu 02B,KP/66A/3,491,630350,M,ampara
Pandiruppu 02C,KP/66A/4,507/1/A,346353,M,ampara
Pandiruppu 02C,KP/66A/4,556/A,199354,F,ampara
Pandiruppu 02C,KP/66A/4,569/A,536772,F,ampara
Pandiruppu 02C,KP/66A/4,622,615000,M,ampara
Pandiruppu 02C,KP/66A/4,624/4,793150,M,ampara
Periyaneelavanai  01,KP/71/1,36/A,521708,M,ampara
Periyaneelavanai  01,KP/71/1,69,906180,M,ampara
Periyaneelavanai  01,KP/71/1,78,372725,M,ampara
Periyaneelavanai  01,KP/71/1,130/A,835573,M,ampara
Periyaneelavanai  01,KP/71/1,172,558175,F,ampara
Periyaneelavanai  01,KP/71/1,177/B,562602,F,ampara
Periyaneelavanai  01,KP/71/1,351,835549,M,ampara
Periyaneelavanai  02,KP/71/4,7/B,281217,M,ampara
Periyaneelavanai  02,KP/71/4,49,291245,F,ampara
Periyaneelavanai  02,KP/71/4,98,590177,F,ampara
Periyaneelavanai  02,KP/71/4,109,399037,F,ampara
Periyaneelavanai  02,KP/71/4,156,57250,M,ampara
Periyaneelavanai  02,KP/71/4,251,387906,F,ampara
Periyaneelavanai  02,KP/71/4,251,809373,M,ampara
Periyaneelavanai  02,KP/71/4,287,390710,M,ampara
Periyaneelavanai  02,KP/71/4,300,381052,M,ampara
Periyaneelavanai  01A,KP/71/2,23/1,893718,M,ampara
Periyaneelavanai  01A,KP/71/2,128,162915,M,ampara
Periyaneelavanai  01A,KP/71/2,163/2,144656,M,ampara
Periyaneelavanai  01A,KP/71/2,203/B,927333,M,ampara
Periyaneelavanai  01B,KP/71/3,32,992787,F,ampara
Periyaneelavanai  01B,KP/71/3,77,969522,F,ampara
Periyaneelavanai  01B,KP/71/3,81,127486,M,ampara
Periyaneelavanai  01B,KP/71/3,242,151851,F,ampara
Periyaneelavanai  01B,KP/71/3,457,63690,M,ampara
Periyaneelavanai  01B,KP/71/3,460,58118,M,ampara
Periyaneelavanai  01B,KP/71/3,534,136825,M,ampara
Periyaneelavanai  01B,KP/71/3,603,483662,M,ampara
Periyaneelavanai  01B,KP/71/3,F/4,43470,F,ampara
Periyaneelavanai  02,KP/71/4,37/A,683502,M,ampara
Periyaneelavanai  02,KP/71/4,39,252330,M,ampara
Periyaneelavanai  02,KP/71/4,47/A,706328,M,ampara
Periyaneelavanai  02,KP/71/4,61,21620,M,ampara
Periyaneelavanai  02,KP/71/4,82,414365,M,ampara
Periyaneelavanai  02,KP/71/4,102,687036,M,ampara
Periyaneelavanai  02,KP/71/4,127/A,810975,M,ampara
Periyaneelavanai  02,KP/71/4,135/A,913625,M,ampara
Periyaneelavanai  02,KP/71/4,150/13,478949,F,ampara
Periyaneelavanai  02,KP/71/4,150/43,972989,M,ampara
Periyaneelavanai  02,KP/71/4,150/45,121392,M,ampara
Periyaneelavanai  02,KP/71/4,156/B,6879,M,ampara
Periyaneelavanai  02,KP/71/4,215,104611,M,ampara
Periyaneelavanai  02,KP/71/4,216,55622,F,ampara
Periyaneelavanai  02,KP/71/4,235/1,704022,M,ampara
Periyaneelavanai  02,KP/71/4,255/A,75842,M,ampara
Periyaneelavanai  02,KP/71/4,271,961506,M,ampara
Periyaneelavanai  02,KP/71/4,275,33467,F,ampara
Periyaneelavanai  02,KP/71/4,285/B,731702,M,ampara
Periyaneelavanai  02,KP/71/4,304/A,538705,F,ampara
